[info] device: cuda
Epoch 074 | Train loss 0.00049 (mse 0.00036, ssim 0.9929) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 075 | Train loss 0.00050 (mse 0.00036, ssim 0.9929) | Val MSE 0.00037 | Val SSIM 0.9928
Epoch 076 | Train loss 0.00050 (mse 0.00036, ssim 0.9928) | Val MSE 0.00036 | Val SSIM 0.9929
Epoch 077 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00036 | Val SSIM 0.9926
Epoch 078 | Train loss 0.00050 (mse 0.00036, ssim 0.9928) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 079 | Train loss 0.00049 (mse 0.00035, ssim 0.9930) | Val MSE 0.00035 | Val SSIM 0.9930
Epoch 080 | Train loss 0.00050 (mse 0.00036, ssim 0.9929) | Val MSE 0.00036 | Val SSIM 0.9929
Epoch 081 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00036 | Val SSIM 0.9929
Epoch 082 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 083 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 084 | Train loss 0.00048 (mse 0.00035, ssim 0.9931) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 085 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00036 | Val SSIM 0.9930
Epoch 086 | Train loss 0.00049 (mse 0.00035, ssim 0.9931) | Val MSE 0.00036 | Val SSIM 0.9932
Epoch 087 | Train loss 0.00049 (mse 0.00036, ssim 0.9931) | Val MSE 0.00037 | Val SSIM 0.9929
Epoch 088 | Train loss 0.00049 (mse 0.00036, ssim 0.9930) | Val MSE 0.00035 | Val SSIM 0.9932
Epoch 089 | Train loss 0.00048 (mse 0.00035, ssim 0.9933) | Val MSE 0.00035 | Val SSIM 0.9933
Epoch 090 | Train loss 0.00049 (mse 0.00036, ssim 0.9931) | Val MSE 0.00035 | Val SSIM 0.9931
Epoch 091 | Train loss 0.00047 (mse 0.00035, ssim 0.9933) | Val MSE 0.00035 | Val SSIM 0.9933
Epoch 092 | Train loss 0.00048 (mse 0.00035, ssim 0.9932) | Val MSE 0.00038 | Val SSIM 0.9929
Epoch 093 | Train loss 0.00048 (mse 0.00035, ssim 0.9932) | Val MSE 0.00035 | Val SSIM 0.9934
Epoch 094 | Train loss 0.00047 (mse 0.00035, ssim 0.9934) | Val MSE 0.00035 | Val SSIM 0.9932
Epoch 095 | Train loss 0.00047 (mse 0.00035, ssim 0.9934) | Val MSE 0.00035 | Val SSIM 0.9935
Epoch 096 | Train loss 0.00046 (mse 0.00034, ssim 0.9935) | Val MSE 0.00034 | Val SSIM 0.9936
Epoch 097 | Train loss 0.00046 (mse 0.00034, ssim 0.9935) | Val MSE 0.00034 | Val SSIM 0.9936
Epoch 098 | Train loss 0.00046 (mse 0.00034, ssim 0.9936) | Val MSE 0.00034 | Val SSIM 0.9936
Epoch 099 | Train loss 0.00046 (mse 0.00034, ssim 0.9936) | Val MSE 0.00034 | Val SSIM 0.9936
Epoch 100 | Train loss 0.00046 (mse 0.00034, ssim 0.9936) | Val MSE 0.00034 | Val SSIM 0.9935
